,Event ID,Reports,Time [UTC] (average time if multiple reports),State,Apparent Magnitude (Average),"Apparent Duration (Average, sec)",Notes,Result Archive URL,Conclusion,Signal Time,Delta T [Report] (≈),Signal Duration (≈),Comments,,,,
,Event 4322-2024,18,2024-08-12 04:14 UT,"CT, DE, MA, MD, NJ, NY, PA",-11.5,3.1,from 2024-08-12 04:00 UT to 2024-08-12 04:36 UT,"Event 4321, 4322, 4323, 4327, 4328, 4329, 4332, 4334, 4335, 4337, 4338, 4339, 4340.xlsx",Matched,4:33:30,0min,1s,,,,,
,Event 4332--2024,2,2024-08-12 04:20 UT,CO,-11.5,3.5,"level 3, level 4",,Matched,4:31:30,0min,1,,,,,
,Event 4334-2024,1,2024-08-12 04:25 UT,IL,-5,1.5,Might be too far away.,,Matched,4:25:42,0min,2,,,,,
,Event 4335-2024,3,2024-08-12 04:30 UT,"IL, MI",-10,3,Exp Level: 3 ⭐,,Matched,4:29:24,0min,1,,,,,
,Event 4337-2024,1,2024-08-12 04:29 UT,MN,-6,3.5,level 3 ,,Matched,4:31:18,30s,1,,,,,
,Event 4338-2024,1,2024-08-12 04:35 UT,VT,-13,1,,,Matched,4:35:48,0min,1,,,,,
,Event 4354-2024,5,2024-08-12 06:48 UT,"NJ, VA, PA, OH",-14.4,3.1,Close to DC worth looking into,"Event 4354, 4357.xlsx",Not Matched,,,,,,,,
For 20240813,Event 4434-2024,2,2024-08-13 01:49 UT,"VA, PA",-5.5,1.5,,Event 4434.xlsx,Matched,1:56:21,0min,2s,,,,,
,Event 4451-2024,1,2024-08-13 06:29 UT,FL,-6,1.5,⭐,"Event 4450, 4451, 4452.xlsx",Matched,6:28:21,1min,1s,,,,,
,Event 4452-2024,1,2024-08-13 06:30 UT,NY,-8,1.5,⭐,,Matched,6:28:27,2min,2s,,,,,
,Event 4454-2024,1,2024-08-13 07:02 UT,VA,-17,1.5,close to DC,"Event 4453, 4454.xlsx",Not Matched,,,,,,,,
For 20240815,Event 4051-2024,38,2024-08-15 01:00 UT,"AL, FL, GA",-11.2,4.5,"Contains video footage, and has a LOT of reports. This event is REALLY good.",Event 4051.xlsx,Matched,0:30:48,0min,4s,Very strong signals occured too,,,,
,Event 4388-2024,5,2024-08-16 06:18 UT,,,,,"Event 4388, 4396.xlsx",Matched,6:31:00,0min,3s,,,,,
,Event 4396-2024,3,2024-08-16 06:50 UT,"PA, VA, MD",-14.6,2.2,with direction arrow ⭐,,Partially Matched / Not sure,6:49:48,0min,1s,,,,,
,Event 4761-2024,1,2024-08-20 05:15 UT,NC,-10,1.5,,"Event 4761, 4538.xlsx",Matched,5:13:55,1min,1-3s,,,,,
Daily Break,Event 4567-2024,4,	2024-08-22 02:55 UT,"OH, NJ, NJ, WI",-8.3,1.25,with direction arrow. 7min of NASA match.,Event 4567.xlsx,Matched,2:52:43,0min,1,,,,,
,Event 4582-2024,273,2024-08-23 01:44 UT,NA,NA,NA,NASA match ⭐,Event 4582.xlsx,Partially Matched / Not sure,,,,,,,,
Daily Break,Event 4618-2024,8,2024-08-24 02:10 UT,"IN, MI, WI",-14.6,3.6,worth look into,"Event 4618, 4620.xlsx",Matched,2:09:52,0min,1min,,,,,
,Event 4620-2024,1,2024-08-24 02:08 UT,AZ,-15,45,,,Matched,2:02:52,5min,>3min,,,,,
,Event 4621-2024,2,2024-08-24 02:45 UT,"WI, Ontario",-12.5,1.25,,"Event 4621, 4622.xlsx",Not Matched,,,,,,,,
,Event 4622-2024,105,2024-08-24 03:15 UT,"MI, IN, WI, IL, NY, OH, Ontario, IA, KY",-12.5,2.5,"Not within the desired range, but it has so many reports it is worth looking into.
NASA Match ⭐",,Matched,3:05:46,1min, fg,,,,,
For 202408225,Event 4631-2024,19,2024-08-25 01:27 UT,"VA, PA, WV, MD, NY, NC",-9.2,5.9,"close to DC, lots of witnesses and with photo",Event 4631.xlsx,Matched,"2:41, 42, 45, 46, 50, 3:01:21 AM",0min,10s,"Match with NASA, caught by our sky cam 2:43",,,,
Daily Break,Event 4632-2024,3,2024-08-25 02:08 UT,"PA, Ontario, Ontario",-16,2.2,,"Event 4632, 4634, 4635, 4631.xlsx",Matched,2:07:25,0min,2s,,,,,
,Event 4635-2024,5,2024-08-25 02:20 UT,FL,-10.4,2.7,lots of witnesses,,Matched,2:15:31,0min,3s,,,,,
,Event 4654-2024,1,2024-08-25 09:05 UT,WI,-13,1.5,⭐,"Event 4653, 4654.xlsx",Matched,9:05,0min,5s,,,,,
,Event 4666-2024,6,2024-08-26 03:27 UT,CA,-15,3.5,,"Event 4666, 4667, 4690, 4675.xlsx",Matched,3:28:42,1min,20s,,,,,
,Event 4667-2024,2,2024-08-26 03:50 UT,"VA, TN",-10,3.5,"close to DC, probably solid reports",,Not Matched,,,,,,,,
Daily Break,Event 4695-2024,2,	2024-08-27 08:58 UT,"CT, MA",-11.5,1.25,with photo,Event 4695.xlsx,Not Matched,,,,,,,,
,Event 4696-2024,1,2024-08-27 09:30 UT,TX,-11,3.5,,"Event 4696, 4697.xlsx",Matched,9:30:50,0min,5s,,,,,
,Event 4697-2024,1, 	2024-08-27 09:32 UT,IL,-5,1.5,,,Matched,9:32:33,0min,7s,,,,,
